Date,Task,Time Started,Time Ended
mouthLowerDown_R,mouthDimple_L,mouthDimple_R,mouthSmile_L,eyeLookDown_L,jawRight,mouthPress_L,noseSneer_L,mouthSmile_R,mouthLowerDown_L,mouthPress_R,eyeBlink_L,mouthRight,eyeLookOut_L,browOuterUp_R,browDown_L,eyeBlink_R,jawOpen,eyeLookIn_R,eyeSquint_L,mouthFrown_R,mouthLeft,jawLeft,mouthRollUpper,browInnerUp,mouthPucker,eyeWide_L,mouthStretch_L,tongueOut,browOuterUp_L,mouthShrugLower,mouthStretch_R,eyeLookDown_R,eyeLookOut_R,eyeLookIn_L,mouthShrugUpper,jawForward,eyeWide_R,mouthUpperUp_R,cheekPuff,noseSneer_R,browDown_R,mouthUpperUp_L,eyeLookUp_L,mouthRollLower,cheekSquint_L,cheekSquint_R,mouthFrown_L,mouthFunnel,eyeSquint_R,mouthClose,eyeLookUp_R
,0.2999986,0.04104332,0.03961337,0.1531548,0.06807688,0.03941324,0.02829892,0.1645363,0.1424568,0.3133327,0.03073008,0.01150727,0.00113956,0,0,0.5348191,0.01143117,0.03560019,0.06395168,0.3153882,0,0.03481156,0,0.02839462,0.02485477,0.2083729,0.01921654,0.1188041,2.075975e-06,0,0.08355508,0.110638,0.06705391,0,0.06603213,0.3342825,0.02681443,0.02109464,0.1165437,0.02492309,0.1501754,0.5341619,0.1213599,0,0.02717856,0.09240182,0.08692645,0,0.1628944,0.3154238,0.02143243,0
,0.3079296,0.03698962,0.03611638,0.1469832,0.05050847,0.03938372,0.02602233,0.1538689,0.137642,0.3206813,0.02788851,0.009825096,0.001048765,0,0,0.5158156,0.009785485,0.03752605,0.06367555,0.3174119,0,0.03476568,0,0.02888356,0.02477618,0.1983178,0.03131629,0.1203863,1.288083e-06,0,0.07465123,0.1116116,0.04949877,0,0.06561309,0.3411179,0.02729698,0.03396166,0.1066587,0.02308949,0.140871,0.5151448,0.110843,0,0.02680086,0.08804345,0.08297473,0,0.1624783,0.317471,0.02244036,0
,0.2926566,0.03473917,0.03409923,0.1445376,0.04293808,0.03942672,0.02437718,0.1466937,0.135923,0.3007779,0.02588535,0.008657617,0.0009651974,0,0,0.493387,0.008634249,0.03858347,0.04819958,0.3182953,0,0.03412531,0,0.02909389,0.02480843,0.1930582,0.03615382,0.1212376,1.01759e-06,0,0.07018727,0.1121613,0.04196858,0,0.08032148,0.344382,0.02749832,0.03897144,0.1015315,0.02174608,0.1348605,0.4926931,0.1049291,0,0.026078,0.08569729,0.08097187,0,0.1615771,0.3183712,0.02304074,0
,0.2872885,0.03339427,0.03288468,0.1441898,0.04661467,0.03950461,0.02332312,0.1436937,0.1350641,0.2951925,0.02465949,0.007761872,0.0008882843,0,0,0.486263,0.007747371,0.03895825,0.04326022,0.318251,0,0.03392424,0,0.02907465,0.02491311,0.1888272,0.04224741,0.1213884,9.634648e-07,0,0.06815401,0.1122298,0.04565942,0,0.0849212,0.345221,0.02748335,0.04531921,0.09927729,0.02066738,0.1322353,0.4855548,0.1024088,0,0.02498308,0.08450942,0.08002348,0,0.15126,0.3183445,0.02325235,0
,0.2534236,0.03258076,0.03212466,0.1440277,0.05390014,0.03956502,0.02261999,0.142872,0.1343634,0.2591191,0.02383961,0.007033158,0.000817498,0,0,0.5024648,0.007023562,0.0388312,0.03696024,0.3133414,0,0.03450037,0,0.02890124,0.02483795,0.1878892,0.04956569,0.1206831,6.67495e-07,0,0.07672839,0.1118499,0.05296909,0,0.0904457,0.3389593,0.02728993,0.05235785,0.09814147,0.01988458,0.1315418,0.5017066,0.1011446,0,0.02417998,0.08389107,0.07956114,0,0.1476796,0.3134747,0.02324498,0
,0.2439922,0.03189722,0.03144363,0.1449776,0.05630124,0.03953899,0.02206331,0.1456533,0.1339541,0.2491969,0.0232356,0.006413712,0.0007523515,0,0,0.5083963,0.006406887,0.03837542,0.03678365,0.3083683,0,0.0398862,0,0.02857373,0.02472414,0.2000394,0.05436147,0.1201135,6.803053e-07,0,0.08126723,0.1111332,0.05537429,0,0.09031644,0.3375951,0.02697703,0.05697963,0.09781159,0.01926757,0.1338508,0.5076339,0.1007632,0,0.02342697,0.08364527,0.07934844,0,0.1457842,0.3085357,0.02313021,0
,0.2362535,0.03133764,0.03087519,0.145413,0.05222538,0.03946175,0.0215896,0.146522,0.133599,0.2421714,0.02273131,0.005871032,0.000692396,0,0,0.5111819,0.005865825,0.03742789,0.03599888,0.3065124,0,0.04150372,0,0.02818826,0.02459819,0.2033793,0.0641271,0.1194956,7.274674e-07,0,0.08388761,0.1104839,0.05129862,0,0.09088222,0.333972,0.02656853,0.06665773,0.0973577,0.01877621,0.1346687,0.5104187,0.1002522,0,0.02270879,0.0835566,0.07934339,0,0.144412,0.3066981,0.02290449,0
,0.2327975,0.03080425,0.03031627,0.1461994,0.05297885,0.03940365,0.02116551,0.1470834,0.1335248,0.2389075,0.02229147,0.005386267,0.0006372181,0,0,0.5140614,0.005382049,0.03623866,0.03419362,0.3052037,0,0.04257161,0,0.02774069,0.02441598,0.2048192,0.07017533,0.1187973,5.279805e-07,0,0.08520941,0.1096359,0.05205716,0,0.09268572,0.3331629,0.02607173,0.07251831,0.09710278,0.01828936,0.1352244,0.5133096,0.0999707,0,0.02197229,0.08358994,0.07943437,0,0.1423184,0.3054016,0.02258441,0
,0.2176202,0.03045243,0.02993432,0.1469005,0.05167077,0.03930945,0.02089501,0.1486353,0.1335015,0.2258788,0.02202152,0.004947984,0.0005864371,0,0,0.5199123,0.00494441,0.03413797,0.03910493,0.3041961,0,0.04324865,0,0.0272564,0.02411665,0.2070733,0.07870023,0.1164902,4.611362e-07,0,0.09124285,0.1068974,0.05073698,0,0.08763447,0.3290769,0.02556883,0.08110667,0.09706848,0.017993,0.1368451,0.519156,0.09991068,0,0.02134925,0.08361763,0.07947844,0,0.1411959,0.3043949,0.02218903,0
,0.2130692,0.03020346,0.02965381,0.1468807,0.05465224,0.03925419,0.02069305,0.149364,0.132589,0.2218644,0.02182419,0.00454883,0.0005397029,0,0,0.5233425,0.004545705,0.03304199,0.04035291,0.3033313,0,0.04362182,0,0.02685302,0.02387038,0.2122595,0.08091809,0.1154838,5.757759e-07,0,0.09348458,0.105784,0.05371612,0,0.08655744,0.322042,0.02510338,0.08323595,0.09687161,0.01773868,0.1376358,0.5226258,0.09968948,0,0.02082342,0.08342078,0.07932135,0,0.1403121,0.3035296,0.02187896,0
