browOuterUp_R,eyeWide_R,mouthFrown_L,mouthPress_L,browInnerUp,browOuterUp_L,noseSneer_R,eyeLookOut_R,mouthDimple_L,eyeBlink_L,eyeLookUp_L,cheekSquint_R,mouthDimple_R,eyeLookUp_R,jawOpen,mouthShrugLower,mouthFrown_R,cheekPuff,mouthRollLower,mouthFunnel,eyeSquint_L,eyeLookDown_R,mouthStretch_R,mouthStretch_L,eyeLookIn_L,mouthLowerDown_R,browDown_L,mouthUpperUp_L,noseSneer_L,eyeWide_L,jawRight,mouthRollUpper,jawForward,mouthLeft,mouthPress_R,mouthSmile_L,tongueOut,mouthUpperUp_R,jawLeft,eyeLookIn_R,mouthSmile_R,browDown_R,mouthShrugUpper,cheekSquint_L,eyeBlink_R,mouthLowerDown_L,eyeLookDown_L,mouthClose,mouthPucker,mouthRight,eyeLookOut_L,eyeSquint_R
1.104202e-11,0.0001223981,6.102392e-06,0.1127369,0.02695646,3.006178e-11,0.2610032,0,0.4924225,0.1725819,0,0.3381564,0.5047249,0,0.001081813,0.7242829,6.70218e-06,0.05573947,0.1237232,0.09994324,0.365518,0.1256161,0.06447998,0.06279065,0.03736759,0.01988822,0.4699033,0.2101883,0.2633605,0.0001224814,0.02129607,0.01405489,0.0252286,0.0005411234,0.1120958,0.4559012,7.551959e-05,0.2129327,0,0.08780003,0.4652063,0.4699045,0.1684919,0.3168297,0.1725427,0.02023444,0.1260394,0.002844807,0.08692224,0.01674675,0,0.3654119
1.016206e-11,0.000112644,5.61608e-06,0.1126705,0.02689282,2.76661e-11,0.2609368,0,0.4905896,0.1724183,0,0.3376611,0.5015332,0,0.001095105,0.7242985,6.168069e-06,0.05566573,0.1234959,0.10029,0.363818,0.1253705,0.06445835,0.06275521,0.03668731,0.02012694,0.4695843,0.2105588,0.2632389,0.0001127206,0.02129045,0.01402586,0.02526483,0.0004980002,0.1120681,0.4558324,6.733438e-05,0.2134033,0,0.08843938,0.464909,0.4695855,0.1692339,0.3165212,0.1723814,0.02046986,0.125797,0.002820959,0.08729941,0.01675513,0,0.3637227
9.352221e-12,0.0001036671,5.168524e-06,0.1132408,0.02680493,2.546133e-11,0.2609997,0,0.4898719,0.1721792,0,0.3361332,0.5002359,0,0.001103031,0.7249759,5.676523e-06,0.05583858,0.1233782,0.1006174,0.3616662,0.1258388,0.06431523,0.06261872,0.03559151,0.02030207,0.4692,0.2112907,0.2632084,0.0001037377,0.02124089,0.01398853,0.02524476,0.0004583136,0.1125288,0.454945,7.099773e-05,0.2142089,0,0.08954184,0.4629477,0.4692011,0.1698906,0.3159362,0.1721448,0.02063819,0.1262728,0.002792086,0.087731,0.01658938,0,0.3615855
8.606924e-12,9.54057e-05,4.756634e-06,0.1138535,0.0266823,2.343227e-11,0.2609983,0,0.4896959,0.1715885,0,0.3352702,0.4995478,0,0.001104606,0.7276303,5.22415e-06,0.05601429,0.123209,0.100845,0.3580906,0.1267921,0.06400724,0.06234992,0.03618479,0.02041178,0.4689299,0.2129326,0.2631487,9.54706e-05,0.02116504,0.01393238,0.02518739,0.0004217897,0.1130882,0.4543982,4.599304e-05,0.2154775,0,0.08900695,0.4619258,0.4689307,0.1704698,0.31549,0.171563,0.02074286,0.1272248,0.002757018,0.08803038,0.01622308,0,0.3580284
7.289779e-12,8.080546e-05,4.028711e-06,0.1132187,0.02662369,1.984636e-11,0.2612287,0,0.4757756,0.1710313,0,0.3342875,0.4852433,0,0.001128594,0.7173194,4.424682e-06,0.05595237,0.122096,0.1014959,0.3565781,0.1263745,0.06372661,0.06209891,0.03541447,0.02084831,0.4645115,0.2129948,0.2632633,8.086043e-05,0.0209967,0.01388441,0.0250842,0.0003572419,0.1122926,0.4550074,3.956379e-05,0.2155878,0,0.0897995,0.4621292,0.4645112,0.1700403,0.3148789,0.1710122,0.02116794,0.126811,0.002720898,0.08843604,0.01512899,0,0.3565226
6.708842e-12,7.436591e-05,3.707655e-06,0.1121584,0.02665209,1.826476e-11,0.261399,0,0.4727083,0.1710778,0,0.3343764,0.4823742,0,0.001142161,0.7145672,4.07207e-06,0.05557365,0.120268,0.1015279,0.3567782,0.126065,0.0637973,0.06210144,0.03663393,0.0210645,0.4634632,0.2126009,0.2633905,7.44165e-05,0.02085564,0.01383788,0.02503403,0.0003287726,0.1112899,0.4597296,3.586018e-05,0.2153381,0,0.0884892,0.4659687,0.4634628,0.1697638,0.3148652,0.1710609,0.02137488,0.1264931,0.002708062,0.08843248,0.0151834,0,0.3567224
6.174201e-12,6.843955e-05,3.412184e-06,0.1117644,0.02662438,1.680921e-11,0.261312,0,0.4722744,0.1697634,0,0.3338945,0.4813437,0,0.001149253,0.7136888,3.747558e-06,0.055327,0.1194188,0.101468,0.3563392,0.1261832,0.0637353,0.0620553,0.03816226,0.02119935,0.4629273,0.2125409,0.2633023,6.84861e-05,0.02067914,0.01379409,0.02501554,0.000302572,0.1109184,0.460627,3.608262e-05,0.2153451,0,0.08692294,0.4665574,0.4629267,0.1696675,0.3145206,0.1697495,0.02150125,0.1266024,0.002690705,0.08828735,0.01500245,0,0.3562838
5.682167e-12,6.298546e-05,3.140261e-06,0.1117795,0.02655984,1.546965e-11,0.26056,0,0.4735843,0.1606342,0,0.3293563,0.482408,0,0.001152238,0.7182865,3.448908e-06,0.05525949,0.1188884,0.101366,0.3549679,0.1261928,0.06364611,0.06199419,0.03782015,0.02127766,0.4627026,0.2127005,0.2627522,6.30283e-05,0.02053455,0.01374733,0.02499389,0.0002784595,0.1109756,0.4607423,3.634605e-05,0.215582,0,0.08728811,0.4664028,0.4627018,0.1700219,0.3115096,0.1605806,0.02157946,0.1266141,0.00267161,0.08828662,0.01486419,0,0.3549075
5.229344e-12,5.796602e-05,2.890007e-06,0.11153,0.02654924,1.423684e-11,0.2596083,0,0.4740902,0.1576895,0,0.3269269,0.4829283,0,0.001158252,0.7194491,3.174057e-06,0.05497574,0.1182781,0.101071,0.3525733,0.1258265,0.0636638,0.06204496,0.0374112,0.02138954,0.4616168,0.2127376,0.2616642,5.800545e-05,0.02045446,0.0137066,0.02496637,0.0002562685,0.1108092,0.460694,5.032775e-05,0.2157569,0,0.08770653,0.4663314,0.4616161,0.1702834,0.3094046,0.1576267,0.02169792,0.1262496,0.002656675,0.08817752,0.01484724,0,0.3525026
4.812607e-12,5.334659e-05,2.659697e-06,0.1115508,0.02656569,1.310228e-11,0.2588871,0,0.4769388,0.1442397,0,0.3257803,0.4895893,0,0.001162282,0.7202097,2.92111e-06,0.05478116,0.1179789,0.1007565,0.3515376,0.1254288,0.06374286,0.0621226,0.0350915,0.02146885,0.4610409,0.2127177,0.2608466,5.338289e-05,0.02044778,0.01369138,0.02498202,0.000235846,0.1109201,0.4602964,5.264724e-05,0.2159383,0,0.09012843,0.4660119,0.4610406,0.1706641,0.3082287,0.1441917,0.02178898,0.1258655,0.00264357,0.08797635,0.01508845,0,0.3514639
