Date,Task,Time Started,Time Ended
cheekPuff,eyeLookIn_R,browOuterUp_R,jawRight,mouthClose,eyeLookOut_R,eyeWide_L,mouthUpperUp_L,mouthRight,mouthLowerDown_R,mouthStretch_R,noseSneer_L,mouthPucker,mouthFrown_R,browOuterUp_L,mouthSmile_R,eyeBlink_R,mouthLowerDown_L,mouthRollLower,eyeLookUp_L,mouthShrugLower,jawForward,eyeLookUp_R,mouthPress_R,eyeWide_R,mouthDimple_R,mouthShrugUpper,eyeBlink_L,browDown_R,browDown_L,eyeSquint_L,mouthLeft,cheekSquint_L,mouthSmile_L,eyeLookDown_R,mouthStretch_L,mouthDimple_L,tongueOut,mouthFunnel,jawLeft,eyeLookOut_L,jawOpen,noseSneer_R,mouthUpperUp_R,mouthFrown_L,browInnerUp,eyeSquint_R,eyeLookIn_L,mouthPress_L,cheekSquint_R,eyeLookDown_L,mouthRollUpper
0.07332337,0,0,0.0387827,0.02664579,0.01579824,0,0.09432594,0.0388655,0.06526311,0.1606486,0.1361097,0.3211947,0.281032,0,0,0.09798278,0.06533539,0.06570504,0,0.2962665,0.03437304,0,0.04354245,0,0.0384442,0.2525188,0.09604789,0.5166245,0.5164075,0.4447657,0,0.06515905,0,0.09087215,0.1517026,0.03210917,0.0008569555,0.1648107,0,0,0.0276338,0.1343793,0.09894423,0.2964525,0.03127084,0.4431866,0.1344224,0.04156408,0.06080182,0.09057064,0.026578
0.1111829,0.07298134,0,0.02410274,0.03984342,0,0,0.07271401,0.01360545,0.06350414,0.1371037,0.1119822,0.3776217,0.3093153,0,0,0.1522426,0.06382368,0.06972707,0,0.2854653,0.03433515,0,0.04438807,0,0.03952402,0.168185,0.1551746,0.371837,0.3723783,0.3251699,0.000414449,0.05786989,0,0.194088,0.1341988,0.03341521,0.0008670894,0.1671148,0,0,0.02887343,0.1030534,0.06888085,0.2956688,0.04234215,0.324344,0.04575885,0.04243854,0.04993926,0.1942041,0.04277337
0.08439606,0.105731,0,0.01797316,0.04495284,0,0,0.06449293,0.006673878,0.06361108,0.1289086,0.09971323,0.3416758,0.3147603,0,0,0.2892167,0.06428157,0.07031293,0,0.2369771,0.03427418,0,0.04326323,0,0.03964207,0.2024541,0.3073745,0.2396788,0.2425558,0.2503591,0.001147032,0.05412553,0,0.2229803,0.1279604,0.03403574,0.001055524,0.16796,0,0,0.03221643,0.08825336,0.05799466,0.2698912,0.07267889,0.2498351,0.01330277,0.0424549,0.04423744,0.223433,0.04750483
0.0852187,0.08380427,0,0.01497625,0.04717766,0,0,0.06017499,0.003012259,0.06312373,0.1244939,0.09420854,0.354541,0.2912816,0,0,0.3013283,0.06392917,0.07043546,0,0.2722459,0.03400252,0,0.04280135,0,0.03964423,0.1994775,0.2977408,0.1973099,0.2003205,0.2043251,0.00171992,0.05221768,0,0.2332123,0.1243392,0.03463545,0.0008496771,0.1686569,0,0,0.03298876,0.08135982,0.05252806,0.2609638,0.08168302,0.2041416,0.03601979,0.04240686,0.04154396,0.2334584,0.04987949
0.08552171,0.08097001,0,0.01376544,0.04789509,0,0,0.0582545,0.00285422,0.06268703,0.1224315,0.0946392,0.3592941,0.2840739,0,0,0.243703,0.06356919,0.06999956,0,0.27839,0.03364687,0,0.04233669,0,0.03949093,0.199254,0.2436405,0.2334711,0.2353223,0.1840624,0.001828664,0.05132124,0,0.2285637,0.1221804,0.0349659,0.0009071307,0.1693564,0,0,0.03308997,0.08171236,0.05137368,0.2570616,0.08233153,0.1839902,0.03979126,0.04223527,0.04065362,0.2287733,0.05080536
0.0814592,0.1014027,0,0.01425478,0.04363278,0,0,0.06150634,0.01786977,0.06262591,0.1214993,0.09467325,0.3631355,0.2111649,0,0,0.2083813,0.06355681,0.05803987,0,0.2825983,0.03312868,0,0.04166679,0,0.03903605,0.2319568,0.2085149,0.2860388,0.2867615,0.172435,0.001814502,0.05085699,0,0.2380075,0.1207468,0.03486679,0.0007584881,0.1692185,0,0,0.03236287,0.08377507,0.06298882,0.2235214,0.06922859,0.1724188,0.01904447,0.04176375,0.04108746,0.2384425,0.04662727
0.05853981,0.1184781,0,0.0153808,0.03754816,0,0,0.06600508,0.02119099,0.06902473,0.1205192,0.09453806,0.3650104,0.1476214,0,0,0.184038,0.07067274,0.03952419,0,0.2371507,0.03181856,0,0.03804164,0,0.0344124,0.2575489,0.1840348,0.3449955,0.3451605,0.1590937,0.001740322,0.0503637,0,0.2442815,0.1180054,0.03261691,0.0003175779,0.1656629,0,0,0.03161375,0.08427916,0.06911972,0.149826,0.05331463,0.1591027,0.000739195,0.03785451,0.04118487,0.2449132,0.03973023
0.05202015,0.1118241,0,0.01710581,0.03373007,0,0,0.06740386,0.01562606,0.07201869,0.1197472,0.09472948,0.3913409,0.1372846,0,0,0.1557621,0.07393956,0.03342803,0,0.2185719,0.03023577,0,0.03479601,0,0.03087931,0.2264611,0.1557863,0.3629352,0.3628783,0.1541794,0.001973612,0.04988935,0,0.2478964,0.1168025,0.03006028,0.0002453697,0.1683289,0,0,0.03092841,0.08543929,0.0713945,0.1344025,0.04690207,0.1542031,0.004545392,0.03388503,0.0412374,0.2484661,0.03627746
0.04971374,0.1238384,0,0.01790997,0.03206441,0,0,0.06379581,0.01250326,0.07349216,0.1147422,0.09456059,0.3986555,0.1410742,0,0,0.1074486,0.07562661,0.03037257,0,0.1894582,0.02935909,0,0.03208918,0,0.02922441,0.1723254,0.1074369,0.3167677,0.3166885,0.1520592,0.002407134,0.04954284,0,0.2138883,0.1133702,0.02879975,9.893504e-05,0.170057,0,0.003562343,0.03030667,0.08590455,0.06694413,0.134617,0.04390699,0.152089,0,0.03064087,0.04144153,0.2144943,0.03499874
0.04801119,0.1186047,0,0.01965473,0.03107777,0,0,0.06332549,0.01052681,0.08789152,0.1133766,0.09474053,0.4019938,0.1388854,0,0,0.0754919,0.09714852,0.02838882,0,0.1795162,0.02860058,0,0.03037558,0,0.02775743,0.2196653,0.07553356,0.2855855,0.2855495,0.1509763,0.009259814,0.04956839,0,0.1983657,0.1127466,0.02727897,2.716638e-05,0.1795514,0,0,0.03004793,0.08767181,0.06645095,0.1318609,0.04246204,0.1510088,0.003496378,0.02853358,0.04245212,0.1988818,0.03391968
0.05418821,0.1371999,0,0.02087929,0.02957937,0,0.005803141,0.06280294,0.008282141,0.08661994,0.1082449,0.09518686,0.4040004,0.1272024,0,0,0.01190883,0.09293193,0.02671473,0,0.2099623,0.0273458,0,0.02884351,0.006222643,0.02660248,0.1802806,0.0124901,0.266501,0.2664582,0.1467544,0.01253043,0.04933789,0,0.1682642,0.111036,0.02596716,1.342174e-05,0.2045914,0,0.01557721,0.02890328,0.08981316,0.06610838,0.1372624,0.04060793,0.1467827,0,0.02671131,0.04360538,0.168845,0.03266382
